n1,r1,n2,r2,ratio
1024,10,1024,16,1.119555749
1024,10,1024,20,1.185931425
1024,10,1024,24,1.264170388
1024,10,1024,32,1.386980419
1024,10,1024,40,1.500601168
1024,10,1024,48,1.616068361
1024,10,1024,56,1.705170045
1024,10,1024,64,1.791480591
1024,16,1024,16,1
1024,16,1024,20,1.063139467
1024,16,1024,24,1.142472083
1024,16,1024,32,1.248297996
1024,16,1024,40,1.359502042
1024,16,1024,48,1.456525968
1024,16,1024,56,1.544835635
1024,16,1024,64,1.623030539
1024,20,1024,20,1
1024,20,1024,24,1.067749891
1024,20,1024,32,1.174162032
1024,20,1024,40,1.27876171
1024,20,1024,48,1.370023419
1024,20,1024,56,1.453088407
1024,20,1024,64,1.513247771
1024,24,1024,24,1
1024,24,1024,32,1.097146739
1024,24,1024,40,1.187024457
1024,24,1024,48,1.278362772
1024,24,1024,56,1.350586611
1024,24,1024,64,1.417119565
1024,32,1024,32,1
1024,32,1024,40,1.081919505
1024,32,1024,48,1.165170279
1024,32,1024,56,1.235294118
1024,32,1024,64,1.291640867
1024,40,1024,40,1
1024,40,1024,48,1.070155587
1024,40,1024,56,1.135199727
1024,40,1024,64,1.196566637
1024,48,1024,48,1
1024,48,1024,56,1.055134848
1024,48,1024,64,1.104046044
1024,56,1024,56,1
1024,56,1024,64,1.04753612
1024,64,1024,64,1
1024,5,2048,5,0.969892473
1024,5,2048,8,1.000733138
1024,5,2048,10,1.040322581
1024,5,2048,16,1.159274194
1024,5,2048,20,1.223973607
1024,5,2048,24,1.279630987
1024,5,2048,32,1.42515121
1024,5,2048,40,1.557459677
1024,5,2048,48,1.6721652
1024,5,2048,56,1.785059698
1024,5,2048,64,1.902721774
1024,8,2048,8,0.983783784
1024,8,2048,10,1.008520385
1024,8,2048,16,1.13963964
1024,8,2048,20,1.191891892
1024,8,2048,24,1.268437929
1024,8,2048,32,1.401013514
1024,8,2048,40,1.531081081
1024,8,2048,48,1.643843844
1024,8,2048,56,1.754826255
1024,8,2048,64,1.870495495
1024,10,2048,10,0.977916941
1024,10,2048,16,1.101916376
1024,10,2048,20,1.147176746
1024,10,2048,24,1.216318235
1024,10,2048,32,1.345165505
1024,10,2048,40,1.46839574
1024,10,2048,48,1.57556109
1024,10,2048,56,1.689404721
1024,10,2048,64,1.78310718
1024,16,2048,16,0.98424431
1024,16,2048,20,1.030188679
1024,16,2048,24,1.086429359
1024,16,2048,32,1.209978603
1024,16,2048,40,1.322310834
