n1,r1,n2,r2,ratio
1024,10,1024,10,1
1024,10,1024,16,0.699722343
1024,10,1024,20,0.592965712
1024,10,1024,24,0.526737662
1024,10,1024,32,0.433431381
1024,10,1024,40,0.375150292
1024,10,1024,48,0.336680909
1024,10,1024,56,0.304494651
1024,10,1024,64,0.279918842
1024,16,1024,16,1
1024,16,1024,20,0.850511574
1024,16,1024,24,0.761648055
1024,16,1024,32,0.624148998
1024,16,1024,40,0.543800817
1024,16,1024,48,0.485508656
1024,16,1024,56,0.44138161
1024,16,1024,64,0.405757635
1024,20,1024,20,1
1024,20,1024,24,0.889791576
1024,20,1024,32,0.73385127
1024,20,1024,40,0.639380855
1024,20,1024,48,0.570843091
1024,20,1024,56,0.518960146
1024,20,1024,64,0.472889928
1024,24,1024,24,1
1024,24,1024,32,0.822860054
1024,24,1024,40,0.712214674
1024,24,1024,48,0.639181386
1024,24,1024,56,0.578822833
1024,24,1024,64,0.531419837
1024,32,1024,32,1
1024,32,1024,40,0.865535604
1024,32,1024,48,0.776780186
1024,32,1024,56,0.705882353
1024,32,1024,64,0.645820433
1024,40,1024,40,1
1024,40,1024,48,0.891796322
1024,40,1024,56,0.810856948
1024,40,1024,64,0.747854148
1024,48,1024,48,1
1024,48,1024,56,0.904401298
1024,48,1024,64,0.828034533
1024,56,1024,56,1
1024,56,1024,64,0.916594105
1024,64,1024,64,1
1024,5,2048,5,0.969892473
1024,5,2048,8,0.625458211
1024,5,2048,10,0.52016129
1024,5,2048,16,0.362273185
1024,5,2048,20,0.305993402
1024,5,2048,24,0.266589789
1024,5,2048,32,0.222679877
1024,5,2048,40,0.19468246
1024,5,2048,48,0.174183875
1024,5,2048,56,0.15938033
1024,5,2048,64,0.148650139
1024,8,2048,8,0.983783784
1024,8,2048,10,0.806816308
1024,8,2048,16,0.56981982
1024,8,2048,20,0.476756757
1024,8,2048,24,0.422812643
1024,8,2048,32,0.350253378
1024,8,2048,40,0.306216216
1024,8,2048,48,0.273973974
1024,8,2048,56,0.250689465
1024,8,2048,64,0.233811937
1024,10,2048,10,0.977916941
1024,10,2048,16,0.688697735
1024,10,2048,20,0.573588373
1024,10,2048,24,0.506799264
1024,10,2048,32,0.42036422
1024,10,2048,40,0.367098935
1024,10,2048,48,0.328241894
1024,10,2048,56,0.301679414
1024,10,2048,64,0.278610497
1024,16,2048,16,0.98424431
1024,16,2048,20,0.824150943
1024,16,2048,24,0.724286239
1024,16,2048,32,0.604989302
1024,16,2048,40,0.528924334
1024,16,2048,48,0.473232618
1024,16,2048,56,0.433013509
1024,16,2048,64,0.403861117
1024,20,2048,20,0.968808937
1024,20,2048,24,0.851588928
1024,20,2048,32,0.707694118
1024,20,2048,40,0.620121863
1024,20,2048,48,0.556409381
1024,20,2048,56,0.509121242
1024,20,2048,64,0.470642772
1024,24,2048,24,0.956634964
1024,24,2048,32,0.792353091
1024,24,2048,40,0.696929348
1024,24,2048,48,0.622785829
1024,24,2048,56,0.569924301
1024,24,2048,64,0.529606926
1024,32,2048,32,0.969302688
1024,32,2048,40,0.847432801
1024,32,2048,48,0.758204562
1024,32,2048,56,0.693766248
1024,32,2048,64,0.645723684
1024,40,2048,40,0.978538316
1024,40,2048,48,0.870534001
1024,40,2048,56,0.799534563
1024,40,2048,64,0.742028247
1024,48,2048,48,0.97493468
1024,48,2048,56,0.895790513
1024,48,2048,64,0.830739492
1024,56,2048,56,0.981679551
1024,56,2048,64,0.914993075
1024,64,2048,64,0.995325983
1024,5,4096,5,0.975073314
1024,5,4096,8,0.610566349
1024,5,4096,10,0.504908836
1024,5,4096,16,0.351315962
1024,5,4096,20,0.294858871
1024,5,4096,24,0.257738234
1024,5,4096,32,0.215054957
1024,5,4096,40,0.187637463
1024,5,4096,48,0.167485719
1024,5,4096,56,0.154535215
1024,5,4096,64,0.143772696
1024,8,4096,8,0.96036036
1024,8,4096,10,0.778378378
1024,8,4096,16,0.541800275
1024,8,4096,20,0.459099099
1024,8,4096,24,0.404998219
1024,8,4096,32,0.33889716
1024,8,4096,40,0.295135135
1024,8,4096,48,0.266363821
1024,8,4096,56,0.245587424
1024,8,4096,64,0.227217061
1024,10,4096,10,0.938494168
1024,10,4096,16,0.660483273
1024,10,4096,20,0.554878049
1024,10,4096,24,0.488308099
1024,10,4096,32,0.406305577
1024,10,4096,40,0.354420732
1024,10,4096,48,0.321129862
1024,10,4096,56,0.292642177
1024,10,4096,64,0.270752037
1024,16,4096,16,0.963443396
1024,16,4096,20,0.793081761
1024,16,4096,24,0.696181198
1024,16,4096,32,0.581613601
1024,16,4096,40,0.508490566
1024,16,4096,48,0.45764983
1024,16,4096,56,0.419872223
1024,16,4096,64,0.388749757
1024,20,4096,20,0.935851746
1024,20,4096,24,0.823569471
1024,20,4096,32,0.68593138
1024,20,4096,40,0.598546945
1024,20,4096,48,0.538087716
1024,20,4096,56,0.495510566
1024,20,4096,64,0.458988702
1024,24,4096,24,0.925724638
1024,24,4096,32,0.770889946
1024,24,4096,40,0.670980789
1024,24,4096,48,0.605417529
1024,24,4096,56,0.55272571
1024,24,4096,64,0.514016856
1024,32,4096,32,0.936112193
1024,32,4096,40,0.81153097
1024,32,4096,48,0.736058781
1024,32,4096,56,0.672675958
1024,32,4096,64,0.625827815
1024,40,4096,40,0.942331075
1024,40,4096,48,0.85600323
1024,40,4096,56,0.776066164
1024,40,4096,64,0.719031523
1024,48,4096,48,0.947098516
1024,48,4096,56,0.869243851
1024,48,4096,64,0.807991232
1024,56,4096,56,0.960070078
1024,56,4096,64,0.893399018
1024,64,4096,64,0.967251918
2048,5,2048,5,1
2048,5,2048,8,0.662878788
2048,5,2048,10,0.545643939
2048,5,2048,16,0.38394765
2048,5,2048,20,0.318181818
2048,5,2048,24,0.280145202
2048,5,2048,32,0.234352236
2048,5,2048,40,0.205079643
2048,5,2048,48,0.184605133
2048,5,2048,56,0.168915906
2048,5,2048,64,0.156827629
2048,8,2048,8,1
2048,8,2048,10,0.827303271
2048,8,2048,16,0.579212454
2048,8,2048,20,0.480647773
2048,8,2048,24,0.426231176
2048,8,2048,32,0.356026786
2048,8,2048,40,0.311263736
2048,8,2048,48,0.278490028
2048,8,2048,56,0.254821709
2048,8,2048,64,0.23766598
2048,10,2048,10,1
2048,10,2048,16,0.696463178
2048,10,2048,20,0.581737346
2048,10,2048,24,0.512513703
2048,10,2048,32,0.428097747
2048,10,2048,40,0.374273256
2048,10,2048,48,0.334865124
2048,10,2048,56,0.306405596
2048,10,2048,64,0.285777011
2048,16,2048,16,1
2048,16,2048,20,0.838981818
2048,16,2048,24,0.73243069
2048,16,2048,32,0.606077075
2048,16,2048,40,0.534134387
2048,16,2048,48,0.480808081
2048,16,2048,56,0.439945148
2048,16,2048,64,0.410326087
2048,20,2048,20,1
2048,20,2048,24,0.879524649
2048,20,2048,32,0.727727707
2048,20,2048,40,0.636675824
2048,20,2048,48,0.569240624
2048,20,2048,56,0.523440508
2048,20,2048,64,0.488003402
2048,24,2048,24,1
2048,24,2048,32,0.830647346
2048,24,2048,40,0.730269754
2048,24,2048,48,0.651799687
2048,24,2048,56,0.597848593
2048,24,2048,64,0.555064231
2048,32,2048,32,1
2048,32,2048,40,0.874270557
2048,32,2048,48,0.77796533
2048,32,2048,56,0.715737465
2048,32,2048,64,0.661482196
2048,40,2048,40,1
2048,40,2048,48,0.890378746
2048,40,2048,56,0.817764818
2048,40,2048,64,0.76008109
2048,48,2048,48,1
2048,48,2048,56,0.915011968
2048,48,2048,64,0.848796275
2048,56,2048,56,1
2048,56,2048,64,0.929156829
2048,64,2048,64,1
2048,5,4096,5,1.007575758
2048,5,4096,8,0.636311027
2048,5,4096,10,0.515734266
2048,5,4096,16,0.363308566
2048,5,4096,20,0.309343434
2048,5,4096,24,0.270803656
2048,5,4096,32,0.224544878
2048,5,4096,40,0.196377841
2048,5,4096,48,0.177506232
2048,5,4096,56,0.163780912
2048,5,4096,64,0.151648888
2048,8,4096,8,0.976190476
2048,8,4096,10,0.791208791
2048,8,4096,16,0.554601648
2048,8,4096,20,0.466666667
2048,8,4096,24,0.408904341
2048,8,4096,32,0.340305893
2048,8,4096,40,0.298076923
2048,8,4096,48,0.26778083
2048,8,4096,56,0.247075204
2048,8,4096,64,0.229867788
2048,10,4096,10,0.955510617
2048,10,4096,16,0.671528661
2048,10,4096,20,0.566860465
2048,10,4096,24,0.497365552
2048,10,4096,32,0.413301859
2048,10,4096,40,0.358417019
2048,10,4096,48,0.323838555
2048,10,4096,56,0.298630287
2048,10,4096,64,0.276400221
2048,16,4096,16,0.968774704
2048,16,4096,20,0.8056917
2048,16,4096,24,0.709133892
2048,16,4096,32,0.589603482
2048,16,4096,40,0.514624506
2048,16,4096,48,0.462318841
2048,16,4096,56,0.426570945
2048,16,4096,64,0.394972826
2048,20,4096,20,0.965487112
2048,20,4096,24,0.85022129
2048,20,4096,32,0.7065555
2048,20,4096,40,0.616987179
2048,20,4096,48,0.555739271
2048,20,4096,56,0.509405914
2048,20,4096,64,0.47209295
2048,24,4096,24,0.966654629
2048,24,4096,32,0.801530336
2048,24,4096,40,0.700758397
2048,24,4096,48,0.631863213
2048,24,4096,56,0.580759467
2048,24,4096,64,0.539303085
2048,32,4096,32,0.96575838
2048,32,4096,40,0.842633229
2048,32,4096,48,0.760782002
2048,32,4096,56,0.697575003
2048,32,4096,64,0.645647456
2048,40,4096,40,0.958006784
2048,40,4096,48,0.870190579
2048,40,4096,56,0.797893738
2048,40,4096,64,0.737847222
2048,48,4096,48,0.96734045
2048,48,4096,56,0.891792742
2048,48,4096,64,0.825966042
2048,56,4096,56,0.974424175
2048,56,4096,64,0.90207302
2048,64,4096,64,0.971604826
4096,5,4096,5,1
4096,5,4096,8,0.626174812
4096,5,4096,10,0.52443609
4096,5,4096,16,0.367015797
4096,5,4096,20,0.303571429
4096,5,4096,24,0.271577381
4096,5,4096,32,0.222186325
4096,5,4096,40,0.193667763
4096,5,4096,48,0.174728814
4096,5,4096,56,0.160128078
4096,5,4096,64,0.147448088
4096,8,4096,8,1
4096,8,4096,10,0.810506567
4096,8,4096,16,0.574812383
4096,8,4096,20,0.47804878
4096,8,4096,24,0.422295184
4096,8,4096,32,0.352222092
4096,8,4096,40,0.305347092
4096,8,4096,48,0.277465082
4096,8,4096,56,0.254412835
4096,8,4096,64,0.23547432
4096,10,4096,10,1
4096,10,4096,16,0.696062853
4096,10,4096,20,0.595833333
4096,10,4096,24,0.520310211
4096,10,4096,32,0.435388712
4096,10,4096,40,0.380649718
4096,10,4096,48,0.342335391
4096,10,4096,56,0.315511621
4096,10,4096,64,0.291910807
4096,16,4096,16,1
4096,16,4096,20,0.837639553
4096,16,4096,24,0.739961014
4096,16,4096,32,0.612141148
4096,16,4096,40,0.530526316
4096,16,4096,48,0.477157133
4096,16,4096,56,0.439769374
4096,16,4096,64,0.409654223
4096,20,4096,20,1
4096,20,4096,24,0.876398802
4096,20,4096,32,0.731333399
4096,20,4096,40,0.638736264
4096,20,4096,48,0.574548908
4096,20,4096,56,0.529446865
4096,20,4096,64,0.489920236
4096,24,4096,24,1
4096,24,4096,32,0.834066087
4096,24,4096,40,0.724931507
4096,24,4096,48,0.654289834
4096,24,4096,56,0.601662134
4096,24,4096,64,0.557316314
4096,32,4096,32,1
4096,32,4096,40,0.872509363
4096,32,4096,48,0.785972422
4096,32,4096,56,0.720692771
4096,32,4096,64,0.666783708
4096,40,4096,40,1
4096,40,4096,48,0.898361495
4096,40,4096,56,0.828897458
4096,40,4096,64,0.76749712
4096,48,4096,48,1
4096,48,4096,56,0.917896255
4096,48,4096,64,0.850242234
4096,56,4096,56,1
4096,56,4096,64,0.925559909
4096,64,4096,64,1
