n1,r1,n2,r2,delta,ratio
512,1,512,10,0.82,0.994401234
512,1,512,10,0.84,1.013647709
512,1,512,10,0.86,0.949337734
512,1,512,10,0.88,1.005839741
512,1,512,10,0.9,0.974752042
512,1,512,10,0.92,1.008555801
512,1,512,10,0.94,1.026388905
512,1,512,10,0.96,0.960109846
512,1,512,10,0.98,0.979186572
512,1,512,10,1,1.011183177
512,1,512,16,0.02,0.281088895
512,1,512,16,0.04,0.16564167
512,1,512,16,0.06,0.354172008
512,1,512,16,0.08,0.646350015
512,1,512,16,0.1,0.907043158
512,1,512,16,0.12,0.901779068
512,1,512,16,0.14,0.944928802
512,1,512,16,0.16,0.920239451
512,1,512,16,0.18,0.943777853
512,1,512,16,0.2,0.972166022
512,1,512,16,0.22,1.010790648
512,1,512,16,0.24,0.969455522
512,1,512,16,0.26,0.988779359
512,1,512,16,0.28,1.009143643
512,1,512,16,0.3,1.052896695
512,1,512,16,0.32,1.030434565
512,1,512,16,0.34,1.064373908
512,1,512,16,0.36,1.10064334
512,1,512,16,0.38,1.126231489
512,1,512,16,0.4,1.139477119
512,1,512,16,0.42,1.070225179
512,1,512,16,0.44,1.085213338
512,1,512,16,0.46,1.100627799
512,1,512,16,0.48,1.130425864
512,1,512,16,0.5,1.115355325
512,1,512,16,0.52,1.138093073
512,1,512,16,0.54,1.161642884
512,1,512,16,0.56,1.138830258
512,1,512,16,0.58,1.154354144
512,1,512,16,0.6,1.162253873
512,1,512,16,0.62,1.169709848
512,1,512,16,0.64,1.091980164
512,1,512,16,0.66,1.1043765
512,1,512,16,0.68,1.116990402
512,1,512,16,0.7,1.142999753
512,1,512,16,0.72,1.170230839
512,1,512,16,0.74,1.228751205
512,1,512,16,0.76,1.170243444
512,1,512,16,0.78,1.228757822
512,1,512,16,0.8,1.198789195
512,1,512,16,0.82,1.244313394
512,1,512,16,0.84,1.268397164
512,1,512,16,0.86,1.187924969
512,1,512,16,0.88,1.238435234
512,1,512,16,0.9,1.203376275
512,1,512,16,0.92,1.246779876
512,1,512,16,0.94,1.269677356
512,1,512,16,0.96,1.188486128
512,1,512,16,0.98,1.23874011
512,1,512,16,1,1.293431608
512,1,512,20,0.02,0.056592001
512,1,512,20,0.04,0.176850004
512,1,512,20,0.06,0.332760968
512,1,512,20,0.08,0.574626476
512,1,512,20,0.1,0.87218261
512,1,512,20,0.12,0.957213281
512,1,512,20,0.14,0.980559946
512,1,512,20,0.16,0.958165762
512,1,512,20,0.18,0.984328599
512,1,512,20,0.2,1.011016105
512,1,512,20,0.22,1.050046901
512,1,512,20,0.24,1.013350525
512,1,512,20,0.26,1.036738036
512,1,512,20,0.28,1.059718385
512,1,512,20,0.3,1.106513954
512,1,512,20,0.32,1.083323863
512,1,512,20,0.34,1.119220031
512,1,512,20,0.36,1.157469462
512,1,512,20,0.38,1.184435553
512,1,512,20,0.4,1.198394471
512,1,512,20,0.42,1.125586768
512,1,512,20,0.44,1.141351288
512,1,512,20,0.46,1.157563665
512,1,512,20,0.48,1.192380308
512,1,512,20,0.5,1.182577684
512,1,512,20,0.52,1.205310345
