n1,r1,n2,r2,ratio
4096,16,4096,20,1.076901956
4096,16,4096,32,1.259471282
4096,16,4096,40,1.375343647
4096,16,4096,64,1.676894829
4096,20,4096,20,1
4096,20,4096,32,1.171158126
4096,20,4096,40,1.277495304
4096,20,4096,64,1.567041525
4096,32,4096,32,1
4096,32,4096,40,1.092496741
4096,32,4096,64,1.335047321
4096,40,4096,40,1
4096,40,4096,64,1.221305211
4096,64,4096,64,1
